nivel,aula_funcional,denominacion,cantidad,marca,modelo,tipo,color,serie,largo,ancho,alto,documento_alta,fecha_compra,numero_documento,estado,procedencia,observaciones,usuario_responsable,ubicacion,fecha_registro
"Primaria,""2A"",""mesas de estudiante"",""23"",""madera"",""Rectangular"",""Mobiliario"",""madera"","""",""0.50"",""0.45"",""0.61"","""","""","""",""Bueno"",""Fe y Alegría"","""",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-11-26"""
"Primaria,""2A"",""Silla de madera"",""22"","""",""Cuadrado"",""Mobiliario"",""madera"","""",""029"",""0.35"",""0.66"","""","""","""",""Bueno"",""Fe y Alegría"","""",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-11-26"""
"Primaria,""2A"",""perchero"",""1"",""madera"",""Rectangular"",""Mobiliario"",""madera"","""",""2.76"",""0.13"",""0.13"","""","""","""",""Regular"",""UGEL"",""Faltan 5 ganchitos"",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-11-26"""
"Primaria,""2A"",""Estante con vidrio"",""1"",""madera"",""Rectangular"",""Mobiliario"",""Rojo"","""",""2"",""0.29"",""0.99"","""","""","""",""Bueno"",""Fe y Alegría"","""",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-11-26"""
"Primaria,""2A"",""Estante para niños"",""1"",""madera"",""Rectangular"",""Mobiliario"",""madera"","""",""2.76"",""1.22"",""1.22"","""","""","""",""Bueno"",""Fe y Alegría"","""",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-11-26"""
"Primaria,""2A"",""Estante para platos y tazas"",""1"",""madera"",""Rectangular"",""Mobiliario"","""","""",""1"",""0.80"",""0.80"","""","""","""",""Bueno"",""Fe y Alegría"","""",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-11-26"""
"Primaria,""2A"",""Repisa pequeña"",""1"",""madera"",""Rectangular"",""Mobiliario"",""madera"","""",""0.78"",""0.19"",""0.41"","""","""","""",""Bueno"",""Fe y Alegría"","""",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-11-26"""
"Primaria,""2A"",""Silla del,profesor"",""1"",""madera"",""cuadrado"",""Mobiliario"",""madera"","""",""0.89"",""0.40"",""0.40"","""","""","""",""Bueno"",""Fe y Alegría"","""",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-11-26"""
"Primaria,""2A"",""Estante de libros"",""1"",""madera"",""Rectangular"",""Mobiliario"",""madera"","""",""1.52"",""1.21"",""1.21"","""","""","""",""Bueno"",""Fe y Alegría"","""",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-11-26"""
"Primaria,""2A"",""Pupitre"",""1"",""madera"",""Rectangular"",""Mobiliario"",""madera"","""",""1.05"",""0.55"",""0.77"","""","""","""",""Bueno"",""Fe y Alegría"","""",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-11-26"""
"Primaria,""2A"",""Libro ARCOIRIS"",""18"",""Santillana"",""Rectangular"",""Material"",""Amarillo"","""","""","""","""","""","""","""",""Regular"",""Fe y Alegría"",""Algunos textos se encuentran sin tapa"",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-11-27"""
"Primaria,""2A"",""ENCICLOPEDIA ESCOLAR SABER 2"",""8"",""Editorial Bruño"",""Rectangular"",""Material"",""Celeste"","""","""","""","""","""","""","""",""Bueno"",""Fe y Alegría"","""",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-11-27"""
"Primaria,""2A"",""DICCIONARIO ESCOLAR"",""5"","""",""Rectangular"",""Material"","""","""","""","""","""","""","""","""",""Bueno"",""Fe y Alegría"","""",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-11-27"""
"Primaria,""2A"",""DICCIONARIO ESCOLAR ILUSTRADO NAKAL"",""1"",""Editorial Navarrete"",""Rectangular"",""Material"",""Azul"","""","""","""","""","""","""","""",""Bueno"",""Fe y Alegría"","""",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-11-27"""
"Primaria,""2A"",""CHISTES INFANTILES"",""1"",""SUSAETA"",""Rectangular"",""Material"",""rojo con anaranjado"","""","""","""","""","""","""","""",""Regular"",""UGEL"",""Hojas pegadas con cinta"",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-11-27"""
"Primaria,""2A"",""El Caballito de siete colores"",""1"",""ALGAIDA"",""Rectangular"",""Material"",""Verde"","""","""","""","""","""","""","""",""Regular"",""Fe y Alegría"",""Hojas pegadas con cinta"",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-11-27"""
"Primaria,""2A"",""La niña que tenìa sombra de sirena"",""1"",""JUCAR"",""Rectangular"",""Material"",""Crema"","""","""","""","""","""","""","""",""Regular"",""Fe y Alegría"",""Algunas hojas pegadas con cinta"",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-11-27"""
"Primaria,""2A"",""El pequeño Abeto"",""1"",""La Galera Editorial"",""Rectangular"",""Material"",""Amarillo"","""","""","""","""","""","""","""",""Regular"",""Fe y Alegría"",""Algunas hojaa pegadas con cinta"",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-11-27"""
"Primaria,""2A"",""Ese no es mi zoo"",""1"",""Bruño"",""Rectangular"",""Material"",""Blanco"","""","""","""","""","""","""","""",""Regular"",""Fe y Alegría"",""Hojas trabajadas con làpiz"",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-11-27"""
"Primaria,""2A"",""El parasubidas"",""1"",""Bruño"",""Rectangular"",""Material"",""Verde"","""","""","""","""","""","""","""",""Regular"",""Fe y Alegría"","""","""","""",""2025-11-27"""
"Primaria,""2A"",""Erase una vez el cuerpo humano ( El gusto y el olfato)"",""1"",""PLANETA AGOSTINI"",""Rectangular"",""Material"",""Blanco"","""","""","""","""","""","""","""",""Regular"",""Fe y Alegría"",""Hojas con cinta"",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-11-28"""
"Primaria,""2A"",""Mi primer libro del osito"",""1"",""EDICIONES TORAY"",""Rectangular"",""Material"",""Blanco"","""","""","""","""","""","""","""",""Regular"",""Fe y Alegría"",""Hojas forradas con cinta"",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-11-28"""
"Primaria,""2A"",""Don Fantasma de la Torre mochada"",""1"",""Ilustraciones de Marcos de Obregòn"",""Rectangular"",""Material"","""","""","""","""","""","""","""","""",""Regular"",""Fe y Alegría"",""Hojas forradas con cinta"",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-11-28"""
"Primaria,""2A"",""SOY JERÒNIMO: Un monstruo en el espejo"",""1"",""Editorial Bruño"",""Rectangular"",""Material"",""anaranjado"","""","""","""","""","""","""","""",""Regular"",""Fe y Alegría"",""Tapa dañada"",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-11-28"""
"Primaria,""2A"",""UN VIAJE INOLVIDABLE"",""1"","""",""Rectangular"",""Material"",""Blanco"","""","""","""","""","""","""","""",""Regular"",""Fe y Alegría"",""Hojas forradas con cinta"",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-11-28"""
"Primaria,""2A"",""La lluvia que llovió por primera vez"",""1"",""Colección La Galera de oro"",""Rectangular"",""Material"",""verde"","""","""","""","""","""","""","""",""Regular"",""Fe y Alegría"",""Hojas forradas con cinta"",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-11-28"""
"Primaria,""2A"",""Las fantasías de la lechera"",""1"",""Santillana"",""Rectangular"",""Material"",""Rojo"","""","""","""","""","""","""","""",""Bueno"",""Fe y Alegría"","""",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-11-28"""
"Primaria,""2A"",""La amistad del cóndor y el gallinazo"",""1"",""Ministerio de Educacòn"",""Rectangular"",""Material"",""verde"","""","""","""","""","""","""","""",""Bueno"",""UGEL"","""",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-11-28"""
"Primaria,""2A"",""El ladròn de Bagdad"",""1"",""ANAYA"",""Rectangular"",""Material"",""Rosado"","""","""","""","""","""","""","""",""Regular"",""Fe y Alegría"",""Hojas forradas con cinta"",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-11-28"""
"Primaria,""2A"",""Catalina y Agustino se saben cuidar"",""1"",""MED"",""Rectangular"",""Material"",""Turquesa"","""","""","""","""","""","""","""",""Bueno"",""UGEL"","""",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-11-28"""
"Primaria,""2A"",""Barquito viajero"",""1"",""Editorial SEPTIEMBRE"",""Rectangular"",""Material"",""Azul"","""","""","""","""","""","""","""",""Regular"",""Fe y Alegría"","""",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-11-28"""
"Primaria,""2A"",""El barquito viajero CD"",""1"",""Editorial SEPTIEMBRE"",""Rectangular"",""Material"",""Morado"","""","""","""","""","""","""","""",""Bueno"",""Fe y Alegría"","""",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-11-28"""
"Primaria,""2A"",""La lluvia de tortitas"",""1"",""BRUGUERA"",""Rectangular"",""Material"",""Blanco"","""","""","""","""","""","""","""",""Regular"",""Fe y Alegría"",""Hojas pegadas con goma y otras pegadas con cinta"",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-11-28"""
"Primaria,""2A"",""Mi mantita linda"",""3"",""MED"",""Rectangular"",""Material"",""Celeste"","""","""","""","""","""","""","""",""Bueno"",""UGEL"","""",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-11-28"""
"Primaria,""2A"",""Lucas y el puente peatonal"",""1"",""MED"",""Rectangular"",""Material"",""Lila"","""","""","""","""","""","""","""",""Bueno"",""UGEL"","""",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-11-28"""
"Primaria,""2A"",""Genaro , la caracola y el mar"",""1"",""Editorial LA GALERA"",""Rectangular"",""Material"",""Verde "","""","""","""","""","""","""","""",""Regular"",""Fe y Alegría"","""",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-11-28"""
"Primaria,""2A"",""Los monstruos y monstruosos"",""1"",""Editorial: LA GALERA"",""Rectangular"",""Material"",""Marròn"","""","""","""","""","""","""","""",""Regular"",""Fe y Alegría"",""Hojas forradas con cinta"",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-11-28"""
"Primaria,""2A"",""Antes muy antes"",""1"",""MED"",""Rectangular"",""Material"",""Marrón"","""","""","""","""","""","""","""",""Bueno"",""UGEL"","""",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-11-28"""
"Primaria,""2A"",""Néstor, Héctor y Víctor"",""1"",""Veo, veo mi primera biblioteca"",""Rectangular"",""Material"",""Verde"","""","""","""","""","""","""","""",""Regular"",""Fe y Alegría"",""Hojas forradas con cinta"",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-11-28"""
"Primaria,""2A"",""Velero libro de lecturas"",""1"",""EVEREST"",""Rectangular"",""Material"",""Amarillo"","""","""","""","""","""","""","""",""Regular"",""Fe y Alegría"","""",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-11-28"""
"Primaria,""2A"",""¿Cuándo sucede?"",""1"",""ANAYA"",""Rectangular"",""Material"",""Blanco"","""","""","""","""","""","""","""",""Regular"",""Fe y Alegría"","""",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-11-28"""
"Primaria,""2A"","" Primaria primer ciclo CARABÀS 2 "",""4"",""ANAYA"",""Rectangular"",""Material"",""Anaranjado"","""","""","""","""","""","""","""",""Regular"",""Fe y Alegría"",""Hojas forradas con cinta"",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-11-28"""
"Primaria,""2A"",""Canciones para niños"",""1"",""SM (San Marcos)"",""Rectangular"",""Material"",""Rojo"","""","""","""","""","""","""","""",""Regular"",""Fe y Alegría"",""Hojas forradas con cinta"",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-11-28"""
"Primaria,""2A"",""HADAS"",""1"",""Cìrculo de lectores"",""Rectangular"",""Material"",""Blanco"","""","""","""","""","""","""","""",""Regular"",""Fe y Alegría"",""Hojas forradas con cinta"",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-11-28"""
"Primaria,""2A"",""Los vestidos del emperador"",""1"",""Coleccion primeros pasos"",""Rectangular"",""Material"",""Celeste"","""","""","""","""","""","""","""",""Regular"",""Fe y Alegría"",""Hojas forradas con cinta"",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-11-28"""
"Primaria,""2A"",""El paìs de las cien palabras"",""1"",""LA GALERA"",""Rectangular"",""Material"",""Blanco"","""","""","""","""","""","""","""",""Regular"",""Fe y Alegría"","""",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-12-01"""
"Primaria,""2A"",""El primer dìa de colegio de Pooh"",""1"",""Editorial Norma"",""Rectangular"",""Material"","""","""","""","""","""","""","""","""",""Regular"",""Fe y Alegría"",""Hojas forradas con cinta"",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-12-01"""
"Primaria,""2A"",""La media monstruosa"",""1"",""Editorial Septiembre"",""Rectangular"",""Material"","""","""","""","""","""","""","""","""",""Regular"",""Fe y Alegría"",""Tapa dañada"",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-12-01"""
"Primaria,""2A"",""CAJABOT"",""2"",""Editorial Septiembre"",""Rectangular"",""Material"","""","""","""","""","""","""","""","""",""Regular"",""Fe y Alegría"",""Tapa dañada"",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-12-01"""
"Primaria,""2A"",""Es un secreto"",""1"",""Barrio Sèsamo"",""Rectangular"",""Material"","""","""","""","""","""","""","""","""",""Regular"",""Fe y Alegría"",""Tapa dañada"",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-12-01"""
"Primaria,""2A"",""La abuela Micaela"",""1"",""MED"",""Rectangular"",""Material"","""","""","""","""","""","""","""","""",""Regular"",""Fe y Alegría"",""Tapa dañada"",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-12-01"""
"Primaria,""2A"",""El ovni que cercó al tractor"",""1"",""Colecciòn Espacio"",""Rectangular"",""Material"","""","""","""","""","""","""","""","""",""Regular"",""Fe y Alegría"",""Tapa dañada"",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-12-01"""
"Primaria,""2A"",""CROAC CROAC CROAC con CD"",""1"",""Cosas jocosas"",""Rectangular"",""Material"","""","""","""","""","""","""","""","""",""Bueno"",""Fe y Alegría"","""",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-12-01"""
"Primaria,""2A"",""Palmira quiere adelgazar"",""1"",""Planeta"",""Rectangular"",""Material"","""","""","""","""","""","""","""","""",""Regular"",""Fe y Alegría"",""Hojas forradas con cinta"",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-12-01"""
"Primaria,""2A"",""BIG 1 Red bus"",""1"",""Heinmann"",""Rectangular"",""Material"","""","""","""","""","""","""","""","""",""Regular"",""Fe y Alegría"","""",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-12-01"""
"Primaria,""2A"",""Cuento contigo"",""1"",""MINERD"",""Rectangular"",""Material"","""","""","""","""","""","""","""","""",""Bueno"",""Fe y Alegría"","""",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-12-01"""
"Primaria,""2A"",""Las aventuras de Unucha"",""1"",""Centro guamàn Poma de Ayala"","""",""Material"","""","""","""","""","""","""","""","""",""Bueno"",""Fe y Alegría"","""",""Marìa del Carmen Álvarez Letona"",""2º A"",""2025-12-01"""
