nivel,aula_funcional,denominacion,cantidad,marca,modelo,tipo,color,serie,largo,ancho,alto,documento_alta,fecha_compra,numero_documento,estado,procedencia,observaciones,usuario_responsable,ubicacion,fecha_registro
"Primaria,""4C"",""ESTANTE DE MADERA"",""2"","""","""",""Mobiliario"",""MADERA"","""",""2.76"",""28"",""1.22"","""","""","""",""Bueno"",""Fe y Alegría"","""",""MARIA ANTONIETA ARANYA CAYTUIRO"",""4""C"""",""2025-11-26"""
"Primaria,""4C"",""ESTANTE AMARILLO"",""1"",""MADERA"","""",""Mobiliario"",""AMARILLO"","""",""2.00"",""34"",""1.29"","""","""","""",""Regular"",""Fe y Alegría"","""",""MARIA ANTONIETA ARANYA CAYTUIRO"",""4""C"""",""2025-11-26"""
"Primaria,""4C"",""MESAS"",""22"",""MADERA"","""",""Mobiliario"",""MADERA"","""",""55"",""44"",""67"","""","""","""",""Regular"",""Fe y Alegría"","""",""MARIA ANTONIETA ARANYA CAYTUIRO"",""4""C"""",""2025-11-26"""
"Primaria,""4C"",""MESA DE MADERA"",""2"",""MADERA"","""",""Mobiliario"",""MADERA"","""",""55"",""41"",""65"","""","""","""",""Regular"",""Fe y Alegría"","""",""MARIA ANTONIETA ARANYA CAYTUIRO"",""4""C"""",""2025-11-26"""
"Primaria,""4C"",""PUPÍTRE DE DOCENTE"",""1"",""MADERA"","""",""Mobiliario"",""MADERA"","""",""102"",""57"",""57"","""","""","""",""Bueno"",""Fe y Alegría"","""",""MARIA ANTONIETA ARANYA CAYTUIRO"",""4""C"""",""2025-12-02"""
"Primaria,""4C"",""CAÑON MULTIMEDIA"",""1"",""EPSON"","""",""Equipo"",""BLANCO"",""PL E20 X8B21601316"","""","""","""","""","""","""",""Bueno"",""Fe y Alegría"","""",""MARIA ANTONIETA ARANYA CAYTUIRO"",""4""C"""",""2025-12-02"""
"Primaria,""4C"",""BUFER"",""1"","""","""",""Equipo"",""NEGRO"",""KTS-1631"","""","""","""","""","""","""",""Bueno"",""Fe y Alegría"","""",""MARIA ANTONIETA ARANYA CAYTUIRO"",""4""C"""",""2025-12-02"""
"Primaria,""4C"",""ECRAN"",""1"","""","""",""Material"",""BLANCO"","""","""","""","""","""","""","""",""Bueno"",""UGEL"","""",""MARIA ANTONIETA ARANYA CAYTUIRO"",""4""C"""",""2025-12-02"""
"Primaria,""4C"",""ESPEJO"",""1"","""","""",""Mobiliario"",""RECTANGULAR"","""",""0.40"",""0.2"",""1.15"","""","""","""",""Bueno"",""Fe y Alegría"","""",""MARIA ANTONIETA ARANYA CAYTUIRO"",""4""C"""",""2025-12-02"""
"Primaria,""4C"",""RELOJ CIRCULAR"",""1"","""","""",""Mobiliario"",""ROJO"","""","""","""","""","""","""","""",""Bueno"",""UGEL"","""",""MARIA ANTONIETA ARANYA CAYTUIRO"",""4""C"""",""2025-12-02"""
"Primaria,""4C"",""BIOMBO DE TRES CUERPOS"",""1"","""","""",""Mobiliario"",""MADERA"","""","""","""","""","""","""","""",""Bueno"",""Fe y Alegría"","""",""MARIA ANTONIETA ARANYA CAYTUIRO"",""4""C"""",""2025-12-02"""
"Primaria,""4C"",""BALDE DE PLASTICO"",""2"",""DURAPLAST"","""",""Mobiliario"",""COLOR TRANSPARENTE"","""","""","""","""","""","""","""",""Regular"",""Fe y Alegría"","""",""MARIA ANTONIETA ARANYA CAYTUIRO"",""4""C"""",""2025-12-02"""
"Primaria,""4C"",""AZAFATA"",""1"",""METAL"",""RECTANGULAR"",""Material"",""METAL"","""","""","""","""","""","""","""",""Bueno"",""Fe y Alegría"","""",""MARIA ANTONIETA ARANYA CAYTUIRO"",""4""C"""",""2025-12-02"""
"Primaria,""4C"",""POCILLO DE METAL"",""1"",""METAL"",""CIRCULAR"",""Otro"",""METAL"","""","""","""","""","""","""","""",""Bueno"",""Fe y Alegría"","""",""MARIA ANTONIETA ARANYA CAYTUIRO"",""4""C"""",""2025-12-02"""
"Primaria,""4C"",""PIZARRA"",""1"","""","""",""Mobiliario"","""","""",""2.38"",""1.18"","""","""","""","""",""Bueno"",""UGEL"","""",""MARIA ANTONIETA ARANYA CAYTUIRO"",""4""C"""",""2025-12-02"""
"Primaria,""4C"",""ESCOBAS"",""2"","""","""",""Mobiliario"",""PLOMO"","""","""","""","""","""","""","""",""Regular"",""Fe y Alegría"","""",""MARIA ANTONIETA ARANYA CAYTUIRO"",""4""C"""",""2025-12-02"""
"Primaria,""4C"",""ESCOBA"",""1"",""MADERA"","""",""Mobiliario"",""AMARILLO"","""","""","""","""","""","""","""",""Regular"",""UGEL"","""",""MARIA ANTONIETA ARANYA CAYTUIRO"",""4""C"""",""2025-12-02"""
"Primaria,""4C"",""SILLA"",""1"",""MADERA"","""",""Mobiliario"",""MADERA"","""",""0.42"",""0.42"",""0.88"","""","""","""",""Regular"",""Fe y Alegría"","""",""MARIA ANTONIETA ARANYA CAYTUIRO"",""4""C"""",""2025-12-02"""
